X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-13826303.22,5154615.739,878,886,Curbside Bus Stop only (no shelter),BUS,95567,CA,Smith River, ,13450 US Highway 101 North, ,SMR,"Smith River, CA"
-9774936.4112,5130308.7605,879,887,Platform with Shelter,TRAIN,60501,IL,Summit, ,Archer Avenue and South Center Avenue, ,SMT,"Summit, IL"
-13119738.8246,3995501.0753,880,888,Station Building (with waiting room),TRAIN,92701,CA,Santa Ana, ,1000 East Santa Ana Boulevard, ,SNA,"Santa Ana, CA"
-13058964.164,4042790.9666,881,889,Station Building (with waiting room),TRAIN,92410,CA,San Bernardino, ,1170 West Third Street, ,SNB,"San Bernardino, CA"
-13098277.0888,3962036.8093,882,890,Station Building (with waiting room),TRAIN,92675,CA,San Juan Capistrano, ,26701 Verdugo Street, ,SNC,"San Juan Capistrano, CA"
-11398977.2356,3521552.6003,883,891,Platform only (no shelter),TRAIN,79848,TX,Sanderson, ,201 West Downie Street, ,SND,"Sanderson, TX"
-8210135.2251,5445242.4326,884,892,Curbside Bus Stop only (no shelter),BUS,12870,NY,Schroon Lake, ,1567 Route 9, ,SNL,"Schroon Lake, NY"
-13093370.1242,3951138.851,885,893,Platform only (no shelter),TRAIN,92672,CA,San Clemente, ,615 Avenida Victoria, ,SNP,"San Clemente Pier, CA"
-13542758.1083,4394099.4965,886,894,Curbside Bus Stop only (no shelter),BUS,93901,CA,Salinas, ,110 Salinas Street,Transit Center,SNR,"Salinas, CA"
-13542768.3498,4394478.2847,887,895,Station Building (with waiting room),TRAIN,93901,CA,Salinas, ,11 Station Place,Amtrak Station,SNS,"Salinas, CA"
-10123211.8258,5613625.3089,888,896,Curbside Bus Stop only (no shelter),BUS,54768,WI,Stanley, ,604 South Broadway Street, ,SNY,"Stanley, WI"
-9605463.901,5112921.613,889,897,Station Building (with waiting room),TRAIN,46628,IN,South Bend, ,2702 West Washington Street, ,SOB,"South Bend, IN"
-13054564.3621,3894367.1412,890,898,Station Building (with waiting room),TRAIN,92075,CA,Solana Beach, ,105 North Cedros Avenue, ,SOL,"Solana Beach, CA"
-8837688.416,4187698.7888,891,899,Station Building (with waiting room),TRAIN,28387,NC,Southern Pines, ,235 Northwest Broad Street, ,SOP,"Southern Pines, NC"
-13760758.1889,5203052.5955,892,900,Curbside Bus Stop only (no shelter),BUS,97538,OR,Selma, ,110 Deer Creek Road, ,SOR,"Selma, OR"
-9121176.273,4157596.7485,893,901,Station Building (with waiting room),TRAIN,29303,SC,Spartanburg, ,290 Magnolia Street, ,SPB,"Spartanburg, SC"
-13166306.1131,3995147.7542,894,902,Curbside Bus Stop only (no shelter),BUS,90731,CA,San Pedro, ,Berth 95,Catalina Express Terminal,SPD,"San Pedro, CA"
-8081005.3397,5176870.3146,895,903,Station Building (with waiting room),TRAIN,01103,MA,Springfield, ,55 Frank B. Murray Street, ,SPG,"Springfield, MA"
-9979947.099,4837258.9099,896,904,Station Building (with waiting room),TRAIN,62701,IL,Springfield, ,100 North Third Street, ,SPI,"Springfield, IL"
-13070630.2261,6049935.1192,897,905,Station Building (with waiting room),TRAIN,99201,WA,Spokane, ,221 West 1st Avenue,Amtrak Station,SPK,"Spokane, WA"
-10552568.9104,5837358.8209,898,906,Station Building (with waiting room),TRAIN,56479,MN,Staples, ,First Avenue N.E. and Fourth Street N.E., ,SPL,"Staples, MN"
-9235482.9714,4681826.8115,899,907,Platform with Shelter,TRAIN,41174,KY,South Shore, ,Main Street & US 23, ,SPM,"South Shore-South Portsmouth, KY"
-13168262.1081,3993367.8067,900,908,Curbside Bus Stop only (no shelter),BUS,90731,CA,San Pedro, ,931 South Gaffey Street,Public Library,SPO,"San Pedro, CA"
-13678587.2105,5741715.4573,901,909,Curbside Bus Stop only (no shelter),TRAIN,97056,OR,Scappoose, ,33559 NE Prairie Street, ,SPP,"Scappoose, OR"
-12973796.5158,6152935.035,902,910,Platform with Shelter,TRAIN,83864,ID,Sandpoint, ,450 Railroad Avenue, ,SPT,"Sandpoint, ID"
-13331302.0643,4798386.9315,903,911,Curbside Bus Stop only (no shelter),BUS,89431,NV,Sparks, ,1100 Nugget Avenue, ,SPX,"Sparks, NV"
-13705256.307,6120042.6131,904,912,Curbside Bus Stop only (no shelter),BUS,98382,WA,Sequim, ,609 West Washington Street, ,SQM,"Sequim, WA"
-9179029.9954,3165660.338,905,913,Curbside Bus Stop only (no shelter),BUS,34232,FL,Sarasota, ,5600 Fruitville Road, ,SRA,"Sarasota, FL"
-13661978.3178,4643989.6698,906,914,Curbside Bus Stop only (no shelter),BUS,95401,CA,Santa Rosa, ,917 Edwards Avenue, ,SRC,"Santa Rosa, CA"
-8423660.5303,5073035.4033,907,915,Station Building (with waiting room),BUS,18503,PA,Scranton, ,30 Lackawanna Avenue, ,SRN,"Scranton, PA"
-7670988.039,5537025.7393,908,916,Curbside Bus Stop only (no shelter),BUS,04974,ME,Searsport, ,161 East Main Street, ,SRT,"Searsport, ME"
-13794244.0659,5780612.4139,909,917,Curbside Bus Stop only (no shelter),BUS,97138,OR,Seaside, ,1100 12th Avenue,Seaside Cinema,SSD,"Seaside, OR"
-8556266.4603,4982614.2942,910,918,Curbside Bus Stop only (no shelter),BUS,17870,PA,Selinsgrove, ,105 South Market Street, ,SSG,"Selinsgrove, PA"
-13794819.9217,5780365.1432,911,919,Curbside Bus Stop only (no shelter),BUS,97138,OR,Seaside, ,930 North Holladay Drive,Seaside Lodge & Int'l Hostel,SSH,"Seaside, OR"
-8714101.0368,4236523.3909,912,920,Station Building (with waiting room),TRAIN,27576,NC,Selma, ,500 East Railroad Street, ,SSM,"Selma-Smithfield, NC"
-13479499.2208,6064807.7461,913,921,Curbside Bus Stop only (no shelter),BUS,98826,WA,Stevens Pass, ,US Highway 2 at Summit Parking Lot, ,SSW,"Stevens Pass, WA"
-8802230.1607,4600304.3671,914,922,Station Building (with waiting room),TRAIN,24401,VA,Staunton, ,1 Middlebrook Avenue, ,STA,"Staunton, VA"
-8668196.7964,4981753.1992,915,923,Station Building (with waiting room),BUS,16801,PA,State College, ,152 North Atherton Street, ,STC,"State College, PA"
-12644161.7593,4452310.3027,916,924,Curbside Bus Stop only (no shelter),BUS,84770,UT,St. George, ,805 South Bluff Street, ,STG,"St. George, UT"
-9431116.2015,5757713.0064,917,925,Station Building (with waiting room),BUS,49781,MI,St. Ignace,Transportation Center,700 West US Hwy 2, ,STI,"St. Ignace, MI"
-10041461.031,4667983.8193,918,926,Station Building (with waiting room),TRAIN,63103,MO,St. Louis, ,430 South 15th Street,Gateway Station,STL,"St. Louis, MO"
-8186675.95,5019297.0461,919,927,Station Building (with waiting room),TRAIN,06902,CT,Stamford, ,Washington Blvd and South State Street, ,STM,"Stamford, CT"
-11397934.7367,6160227.4894,920,928,Station Building (with waiting room),TRAIN,58784,ND,Stanley, ,Main Street & Railroad Avenue, ,STN,"Stanley, ND"
-13530230.8899,5510753.9785,921,929,Curbside Bus Stop only (no shelter),BUS,97759,OR,Sisters, ,East Main Avenue & North Locust Street, ,STO,"Sisters, OR"
-9204689.0358,3229525.8156,922,930,Curbside Bus Stop only (no shelter),BUS,33781,FL,Pinellas Park, ,8005 US Hwy 19 N, ,STP,"St. Petersburg-Clearwater, FL"
-8117649.6076,5057472.456,923,931,Platform with Shelter,TRAIN,06519,CT,New Haven, ,259 State Street,State Street Station,STS,"New Haven, CT"
-13619934.1384,6147317.4431,924,932,Platform only (no shelter),TRAIN,98292,WA,Stanwood, ,27111 Florence Way, ,STW,"Stanwood, WA"
-13585554.4675,4613868.2127,925,933,Station Building (with waiting room),TRAIN,94585,CA,Suisun City, ,177 Main Street, ,SUI,"Suisun-Fairfield, CA"
-13519319.2316,5445942.9712,926,934,Curbside Bus Stop only (no shelter),BUS,97707,OR,Sunriver, ,56896 Venture Lane, ,SUN,"Sunriver, OR"
-8548249.4511,4991971.0366,927,935,Curbside Bus Stop only (no shelter),BUS,17801,PA,Sunbury, ,60 North 4th Street, ,SUR,"Sunbury, PA"
-13045511.5317,3990058.3229,928,936,Curbside Bus Stop only (no shelter),BUS,92586,CA,Sun City-Menifee, ,26938 Cherry Hills Blvd., ,SUT,"Sun City-Menifee, CA"
-13765827.9845,5806939.9705,929,937,Curbside Bus Stop only (no shelter),BUS,97103,OR,Svenson, ,40490 Old Highway 30, ,SVE,"Svenson, OR"
-13620275.4269,6042815.4278,930,938,Station Building (with waiting room),BUS,98121,WA,Seattle, ,2701 Alaskan Way,Clipper Vacations Ferry Terminal,SVF,"Seattle, WA"
-9971503.6807,5548325.0375,931,939,Curbside Bus Stop only (no shelter),BUS,54481,WI,Stevens Point, ,200 Division Street,Olympia Family Restaurant,SVP,"Stevens Point, WI"
-9785685.2122,5269192.0529,932,940,Station Building (with waiting room),TRAIN,53177,WI,Sturtevant, ,9900 East Exploration Court, ,SVT,"Sturtevant, WI"
-9971063.1893,5547666.5245,933,941,Curbside Bus Stop only (no shelter),BUS,54481,WI,Stevens Point, ,2050 4th Avenue,University of Wisconsin,SVU,"Stevens Point, WI"
-13584090.3781,4445937.4112,934,942,Curbside Bus Stop only (no shelter),BUS,95066,CA,Scotts Valley, ,246 Kings Village Road, ,SVY,"Scotts Valley, CA"
-8587144.5653,4122791.6008,935,943,Curbside Bus Stop only (no shelter),BUS,28584,NC,Swansboro, ,809 West Corbett Avenue, ,SWB,"Swansboro, NC"
-8472776.3887,5329232.6796,936,944,Curbside Bus Stop only (no shelter),BUS,13212,NY,Syracuse, ,1000 Colonel Eileen Collins Blvd,Syracuse Hancock Airport,SYA,"Syracuse, NY"
-8774502.1587,5019755.4894,937,945,Curbside Bus Stop only (no shelter),BUS,15865,PA,Sykesville, ,14 West Main Street, ,SYK,"Sykesville, PA"
-8479121.7128,5323631.8145,938,946,Station Building (with waiting room),TRAIN,13208,NY,Syracuse, ,1 Walsh Circle,Regional Transportation Center,SYR,"Syracuse, NY"
-8554619.1618,5131872.7423,939,947,Curbside Bus Stop only (no shelter),BUS,16947,PA,Sylvania, ,2811 Sylvania Road, ,SYV,"Sylvania, PA"
-13628503.7098,5981455.3509,940,948,Station Building (with waiting room),BUS,98402,WA,Tacoma, ,510 Puyallup Avenue,Greyhound Station,TAB,"Tacoma, Washington"
-13627789.8179,5981647.1928,941,949,Station Building (with waiting room),TRAIN,98421,WA,Tacoma, ,1001 Puyallup Avenue,Amtrak Station,TAC,"Tacoma, WA"
-13332341.7461,4333250.3463,942,950,Platform only (no shelter),BUS,93245,CA,Lemoore, ,17225 Jersey Avenue, ,TAP,"Tachi Palace, CA"
-10843383.4177,3576729.5248,943,951,Platform only (no shelter),TRAIN,76574,TX,Taylor, ,118 East First Street, ,TAY,"Taylor, TX"
-9276425.2612,4106742.4385,944,952,Station Building (with waiting room),TRAIN,30577,GA,Toccoa, ,47 North Alexander Street, ,TCA,"Toccoa, GA"
-9747160.5598,3920972.3678,945,953,Station Building (with waiting room),TRAIN,35401,AL,Tuscaloosa, ,2105 Greensboro Avenue, ,TCL,"Tuscaloosa, AL"
-8836998.4112,5412388.8986,946,954,Station Building (with waiting room),BUS,M5G 1A6,ON,Toronto, ,610 Bay Street,Coach Terminal,TCT,"Toronto, ON"
-13185922.2936,4181939.6741,947,955,Curbside Bus Stop only (no shelter),BUS,93561,CA,Tehachapi, ,335 West Tehachapi Blvd, ,TEH,"Tehachapi, CA"
-12461456.1247,3952193.3721,948,956,Curbside Bus Stop only (no shelter),BUS,85281,AZ,Tempe, ,300 South Ash Avenue, ,TEM,"Tempe, AZ"
-12741588.5642,5249243.2321,949,957,Curbside Bus Stop only (no shelter),BUS,83301,ID,Twin Falls, ,1390 Blue Lakes Boulevard North, ,TFI,"Twin Falls, ID"
-13489728.0946,5716671.4736,950,958,Curbside Bus Stop only (no shelter),BUS,97058,OR,The Dalles, ,201 East Federal Street, ,THD,"The Dalles, OR"
-9025645.9963,4573352.2081,951,959,Platform with Shelter,TRAIN,25936,WV,Thurmond, ,Hwy 25 & Hwy 2, ,THN,"Thurmond, WV"
-7966645.1289,5381594.4765,952,960,Curbside Bus Stop only (no shelter),BUS,03276,NH,Tilton, ,63 Laconia Road, ,TLT,"Tilton, NH"
-13167613.8955,4007789.6274,953,961,Curbside Bus Stop only (no shelter),BUS,90502,CA,Torrance, ,20575 Hamilton Avenue, ,TOA,"Torrance, CA"
-10075008.1208,5463278.2316,954,962,Station Building (with waiting room),TRAIN,54660,WI,Tomah, ,North Superior Avenue and Washington Street, ,TOH,"Tomah, WI"
-9299822.3429,5106959.4836,955,963,Station Building (with waiting room),TRAIN,43604,OH,Toledo, ,415 Emerald Avenue, ,TOL,"Toledo, OH"
-10649370.5952,4729039.9991,956,964,Station Building (with waiting room),TRAIN,66607,KS,Topeka, ,500 SE Holliday Place, ,TOP,"Topeka, KS"
-9178378.8896,3242986.089,957,965,Station Building (with waiting room),TRAIN,33602,FL,Tampa, ,601 North Nebraska Avenue,Union Station,TPA,"Tampa, FL"
-10836484.8388,3645208.3475,958,966,Station Building (with waiting room),TRAIN,76501,TX,Temple, ,315 West Avenue B, ,TPL,"Temple, TX"
-13784096.946,5693675.2883,959,967,Curbside Bus Stop only (no shelter),BUS,97141,OR,Tillamook, ,3600 3rd Street,Park & Ride,TPR,"Tillamook, OR"
-13518205.6023,4545776.2253,960,968,Curbside Bus Stop only (no shelter),BUS,95376,CA,Tracy, ,725 West Clover Road,Wendy's restaurant,TRA,"Tracy, CA"
-13517969.1588,4536599.7632,961,969,Platform with Shelter,TRAIN,95377,CA,Tracy, ,4800 Tracy Boulevard,ACE Station,TRC,"Tracy, CA"
-8321626.3799,4897820.7739,962,970,Station Building (with waiting room),TRAIN,08609,NJ,Trenton, ,72 South Clinton Avenue, ,TRE,"Trenton, NJ"
-13813302.9221,5462692.9923,963,971,Platform only (no shelter),BUS,97439,OR,Florence, ,5647 OR-126,Three Rivers Casino,TRF,"Florence, OR"
-11633776.3115,4463205.5295,964,972,Platform only (no shelter),TRAIN,81082,CO,Trinidad, ,110 West Pine Street, ,TRI,"Trinidad, CO"
-13447174.291,4512853.4386,965,973,Platform with Shelter,TRAIN,95316,CA,Denair, ,3800 Santa Fe Avenue, ,TRK,"Turlock-Denair, CA"
-9260783.1512,5242602.4747,966,974,Station Building (with waiting room),TRAIN,48084,MI,Troy, ,1201 Doyle Drive, ,TRM,"Troy, MI"
-8546583.2277,5129736.0847,967,975,Curbside Bus Stop only (no shelter),BUS,16947,PA,Troy, ,590 Elmira Street, ,TRP,"Troy, PA"
-8578459.0141,5068832.2555,968,976,Curbside Bus Stop only (no shelter),BUS,17771,PA,Trout Run, ,68 State Highway 14, ,TRR,"Trout Run, PA"
-13378977.5353,4768709.7485,969,977,Station Building (with waiting room),TRAIN,96161,CA,Truckee, ,10065 Donner Pass Road, ,TRU,"Truckee, CA"
-9532048.7104,5584628.9275,970,978,Curbside Bus Stop only (no shelter),BUS,49684,MI,Traverse City, ,107 Hall Street, ,TRV,"Traverse City, MI"
-12481856.4509,4297095.6331,971,979,Curbside Bus Stop only (no shelter),BUS,86023,AZ,Tusayan, ,Arizona Highway 64, ,TSY,"Tusayan, AZ"
-13786065.8541,5693746.3853,972,980,Curbside Bus Stop only (no shelter),BUS,97141,OR,Tillamook, ,204 Laurel Avenue,Transit Center,TTC,"Tillamook, OR"
-13664334.2975,5683884.8089,973,981,Curbside Bus Stop only (no shelter),BUS,97062,OR,Tualatin, ,Southwest 72nd Ave & Bridgeport Rd, ,TUA,"Tualatin, OR"
-13607724.4822,6017662.5925,974,982,Platform with Shelter,TRAIN,98188,WA,Tukwila, ,7301 Longacres Way, ,TUK,"Tukwila, WA"
-12352765.5241,3792616.2014,975,983,Station Building (with waiting room),TRAIN,85701,AZ,Tucson, ,400 North Toole Avenue, ,TUS,"Tucson, AZ"
-9123521.9683,3369674.5611,976,984,Curbside Bus Stop only (no shelter),BUS,32159,FL,Lady Lake, ,13535 North US Highway 441, ,TVF,"The Villages-Lady Lake, FL"
-9298635.4821,5505345.0388,977,985,Curbside Bus Stop only (no shelter),BUS,48763,MI,Tawas City, ,1020 West Lake Street, ,TWC,"Tawas City, MI"
-8836626.3812,5410735.4756,978,986,Station Building (with waiting room),TRAIN,M5J 1E7,ON,Toronto, ,65 Front Street West,Union Station,TWO,"Toronto, ON"
-10468828.7637,3951195.2884,979,987,Station Building (with waiting room),TRAIN,71854,AR,Texarkana, ,100 East Front Street, ,TXA,"Texarkana, AR"
-10608689.4881,3809954.2117,980,988,Curbside Bus Stop only (no shelter),BUS,75702,TX,Tyler, ,210 East Oakwood Street, ,TYL,"Tyler, TX"
-8709689.5901,4963452.2791,981,989,Platform with Shelter,TRAIN,16686,PA,Tyrone, ,Pennsylvania Avenue and West 10th Street, ,TYR,"Tyrone, PA"
-8373834.5913,5327799.9828,982,990,Station Building (with waiting room),TRAIN,13501,NY,Utica, ,321 Main Street, ,UCA,"Utica, NY"
-13714418.4984,4743459.8181,983,991,Curbside Bus Stop only (no shelter),BUS,95482,CA,Ukiah, ,115 North Orchard Avenue, ,UKH,"Ukiah, CA"
-8920485.2118,4308049.1518,984,992,Curbside Bus Stop only (no shelter),BUS,27110,NC,Winston-Salem, ,"Martin Luther King, Jr. Drive & Excelsior St.",Winston-Salem State University,UWS,"Winston-Salem, NC"
-8457844.8339,4417816.3469,985,993,Curbside Bus Stop only (no shelter),BUS,23451,VA,Virginia Beach, ,1912 Arctic Avenue, ,VAB,"Virginia Beach, VA"
-13703245.7999,6321441.4909,986,994,Station Building (with waiting room),TRAIN,V6A 4C7,BC,Vancouver, ,1150 Station Street,Pacific Central Station,VAC,"Vancouver, BC"
-13051281.5868,5462509.9237,987,995,Curbside Bus Stop only (no shelter),BUS,97918,OR,Vale,251 B Street West,Malheur County Courthouse, ,VAE,"Vale, OR"
-13609837.8143,4593599.8738,988,996,Curbside Bus Stop only (no shelter),BUS,94590,CA,Vallejo, ,311 Sacramento Street,Vallejo Transit Center,VAL,"Vallejo, CA"
-13657405.2201,5721079.3462,989,997,Station Building (with waiting room),TRAIN,98660,WA,Vancouver, ,1301 West 11th Street, ,VAN,"Vancouver, WA"
-13549625.7552,4536708.7922,990,998,Platform with Shelter,TRAIN,94550,CA,Livermore, ,575 South Vasco Road,Vasco Road ACE Station,VAS,"Livermore, CA"
-13733052.7978,6177175.5982,991,999,Station Building (with waiting room),BUS,V8W 2B4,BC,Victoria, ,721 Douglas St.,Capital City Station,VBC,"Victoria, BC"
-13280407.5016,4066048.3651,992,1000,Platform with Shelter,TRAIN,93001,CA,Ventura, ,39 East Harbor Blvd, ,VEC,"Ventura, CA"
-13733951.9256,6177422.3435,993,1001,Station Building (with waiting room),BUS,V8V 1W9,BC,Victoria, ,254 Belleville Street,Clipper Vacations Ferry Terminal,VIF,"Victoria, BC"
-13279128.0163,4346386.52,994,1002,Station Building (with waiting room),BUS,93291,CA,Visalia, ,425 E. Oak Street, ,VIS,"Visalia, CA"
-10116239.4262,3804903.0768,995,1003,Station Building (with waiting room),BUS,39180,MS,Vicksburg, ,1295 South Frontage Road, ,VKS,"Vicksburg, MS"
-13606644.8373,4598940.8071,996,1004,Curbside Bus Stop only (no shelter),BUS,94589,CA,Vallejo, ,1001 Fairgrounds Drive,Six Flags Discovery Kingdom,VMW,"Vallejo, CA"
-9896041.6567,4497166.183,997,1005,Curbside Bus Stop only (no shelter),BUS,62995,IL,Vienna, ,504 West Vine Street, ,VNA,"Vienna, IL"
-13185595.3392,4057209.7119,998,1006,Station Building (with waiting room),TRAIN,91405,CA,Van Nuys, ,7724 Van Nuys Boulevard, ,VNC,"Van Nuys, CA"
-13056993.4787,4101165.6524,999,1007,Platform only (no shelter),TRAIN,92395,CA,Victorville, ,16858 South D Street,Amtrak Station,VRV,"Victorville, CA"
-13731516.9268,5473377.0252,1000,1008,Platform only (no shelter),BUS,97487,OR,Veneta, ,25042 W Broadway, ,VTA,"Veneta, OR"
-8098694.1402,5517434.5213,1001,1009,Station Building (with waiting room),TRAIN,05676,VT,Waterbury, ,US Highway 2 and Park Row, ,WAB,"Waterbury-Stowe, VT"
-13284013.2649,4244912.5196,1002,1010,Platform with Shelter,TRAIN,93280,CA,Wasco, ,700 G Street, ,WAC,"Wasco, CA"
-10131490.0258,4659049.6063,1003,1011,Station Building (with waiting room),TRAIN,63090,MO,Washington, ,301 West Front Street, ,WAH,"Washington, MO"
-10435190.0535,4687745.2943,1004,1012,Station Building (with waiting room),TRAIN,64093,MO,Warrensburg, ,100 South Holden Street, ,WAR,"Warrensburg, MO"
-8572315.9393,4706928.5394,1005,1013,Station Building (with waiting room),TRAIN,20002,DC,Washington, ,50 Massachusetts Avenue NE,Union Station,WAS,"Washington, DC"
-9920766.7996,5520825.6629,1006,1014,Curbside Bus Stop only (no shelter),BUS,54981,WI,Waupaca, ,1222 West Fulton Street, ,WAU,"Waupaca, WI"
-8539158.5176,4477706.7319,1007,1015,Station Building (with waiting room),TRAIN,23185,VA,Williamsburg, ,468 North Boundary Street, ,WBG,"Williamsburg, VA"
-13678537.8819,5645418.5813,1008,1016,Platform with Shelter,BUS,97071,OR,Woodburn, ,2900 Tom Tennant Drive, ,WBN,"Woodburn, OR"
-13610502.3878,4550811.5178,1009,1017,Platform only (no shelter),BUS,94607,CA,Oakland, ,1451 7th St,West Oakland BART,WBT,"Oakland, CA"
-13179381.9273,4025557.0256,1010,1018,Curbside Bus Stop only (no shelter),BUS,90045,CA,Westchester, ,6860 Park Terrace, ,WCH,"Westchester, CA"
-10812724.0242,3704678.204,1011,1019,Curbside Bus Stop only (no shelter),BUS,76701,TX,Waco, ,301 South 8th Street, ,WCX,"Waco, TX"
-8599191.8107,4672932.2743,1012,1020,Platform with Shelter,TRAIN,22194,VA,Woodbridge, ,1040 Express Way, ,WDB,"Woodbridge, VA"
-9993980.8614,5407825.5783,1013,1021,Station Building (with waiting room),TRAIN,53965,WI,Wisconsin Dells, ,100 LaCrosse Street, ,WDL,"Wisconsin Dells, WI"
-9146758.5863,3476650.5154,1014,1022,Station Building (with waiting room),BUS,32694,FL,Waldo, ,14648 NE 147th Avenue, ,WDO,"Waldo, FL"
-7723581.3931,5481159.9083,1015,1023,Curbside Bus Stop only (no shelter),BUS,04572,ME,Waldoboro, ,1519 Atlantic Highway, ,WDR,"Waldoboro, ME"
-13392549.6584,6011075.9366,1016,1024,Curbside Bus Stop only (no shelter),BUS,98801,WA,Wenatchee, ,300 South Columbia Street,Link Transit Columbia Station,WEC,"Wenatchee, WA"
-10840497.9548,4477498.8537,1017,1025,Curbside Bus Stop only (no shelter),BUS,67152,KS,Wellington, ,1400 East 16th Street, ,WEL,"Wellington, KS"
-7860513.3129,5360935.918,1018,1026,Station Building (with waiting room),TRAIN,04090,ME,Wells, ,696 Sanford Road, ,WEM,"Wells, ME"
-13392465.7234,6011157.2133,1019,1027,Platform with Shelter,TRAIN,98801,WA,Wenatchee, ,1 Kittitas Street,Amtrak Station,WEN,"Wenatchee, WA"
-13185681.3879,4038040.8191,1020,1028,Curbside Bus Stop only (no shelter),BUS,90024,CA,Los Angeles, ,592 Gayley Ave., ,WES,"Westwood UCLA, CA"
-8106866.6426,5079981.2025,1021,1029,Platform with Shelter,TRAIN,06492,CT,Wallingford, ,343 North Cherry St., ,WFD,"Wallingford, CT"
-12727779.5053,6175921.0112,1022,1030,Station Building (with waiting room),TRAIN,59937,MT,Whitefish, ,500 Depot Street, ,WFH,"Whitefish, MT"
-13639923.7863,5427974.8414,1023,1031,Platform only (no shelter),BUS,97492,OR,Westfir, ,46433 Westfir Road, ,WFR,"Westfir, OR"
-12688104.0083,6189809.565,1024,1032,Platform only (no shelter),TRAIN,59936,MT,West Glacier, ,12544 US Highway 2 East, ,WGL,"West Glacier, MT"
-8171207.7858,5396788.0404,1025,1033,Platform only (no shelter),TRAIN,12887,NY,Whitehall, ,154 Main Street, ,WHL,"Whitehall, NY"
-11684531.1719,5168167.7874,1026,1034,Platform with Shelter,BUS,82201,WY,Wheatland, ,91 16th Street, ,WHT,"Wheatland, WY"
-8427109.7632,5022876.9781,1027,1035,Curbside Bus Stop only (no shelter),BUS,18661,PA,White Haven, ,525 State Route 940, ,WHV,"White Haven, PA"
-10835178.6669,4534981.5221,1028,1036,Platform with Shelter,BUS,67202,KS,Wichita, ,214 South Topeka Street, ,WIC,"Wichita, KS"
-13465890.9155,5725660.0246,1029,1037,Platform only (no shelter),TRAIN,98673,WA,Wishram, ,1 Railroad Avenue, ,WIH,"Wishram, WA"
-8410309.6336,4827836.3478,1030,1038,Station Building (with waiting room),TRAIN,19801,DE,Wilmington, ,100 South French Street, ,WIL,"Wilmington, DE"
-10201327.0599,5472317.6113,1031,1039,Station Building (with waiting room),TRAIN,55987,MN,Winona, ,65 East Mark Street, ,WIN,"Winona, MN"
-11779538.8984,4858326.5642,1032,1040,Platform with Shelter,TRAIN,80442,CO,Fraser, ,205 Fraser Avenue, ,WIP,"Fraser-Winter Park, CO"
-10002798.4911,5527084.8938,1033,1041,Curbside Bus Stop only (no shelter),BUS,54495,WI,Wisconsin Rapids, ,2611 West Grand Avenue, ,WIR,"Wisconsin Rapids, WI"
-9925741.5642,5594302.4095,1034,1042,Curbside Bus Stop only (no shelter),BUS,54499,WI,Wittenberg, ,505 Grand Avenue, ,WIT,"Wittenberg, WI"
-8447278.9702,5048551.3298,1035,1043,Station Building (with waiting room),BUS,18701,PA,Wilkes-Barre, ,47 South Washington Street, ,WKB,"Wilkes-Barre, PA"
-13533624.7076,5653875.3227,1036,1044,Curbside Bus Stop only (no shelter),BUS,97067,OR,Welches, ,68280 East Highway 26, ,WLC,"Welches, OR"
-8571690.7859,5047858.911,1037,1045,Station Building (with waiting room),BUS,17701,PA,Williamsport, ,11 West Church Street, ,WLM,"Williamsport, PA"
-8672682.3824,4262592.7179,1038,1046,Station Building (with waiting room),TRAIN,27893,NC,Wilson, ,401 East Nash Street, ,WLN,"Wilson, NC"
-12322510.1282,4166826.5918,1039,1047,Platform with Shelter,TRAIN,86047,AZ,Winslow, ,303 East Second Street (Route 66), ,WLO,"Winslow, AZ"
-7996054.6209,5068715.8197,1040,1048,Platform with Shelter,TRAIN,02891,RI,Westerly, ,14 Railroad Avenue, ,WLY,"Westerly, RI"
-12488946.7173,4198173.8033,1041,1049,Station Building (with waiting room),TRAIN,86046,AZ,Williams, ,233 North Grand Canyon Blvd,Grand Canyon Railway Depot,WMA,"Williams, AZ"
-12489840.5017,4198063.387,1042,1050,Station Building (with waiting room),BUS,86046,AZ,Williams, ,1150 West Cataract Lake Road,Holiday Inn Express,WMH,"Williams, AZ"
-8668993.9132,4062581.9639,1043,1051,Station Building (with waiting room),BUS,28405,NC,Wilmington, ,505 Cando Street, ,WMN,"Wilmington, NC"
-13499023.4775,5584427.0039,1044,1052,Curbside Bus Stop only (no shelter),BUS,97761,CO,Warm Springs, ,2172 Highway 26, ,WMS,"Warm Springs, OR"
-8086498.734,5138838.6956,1045,1053,Platform with Shelter,TRAIN,06095,CT,Windsor, ,41 Central Street, ,WND,"Windsor, CT"
-8084700.7014,5148100.4486,1046,1054,Platform with Shelter,TRAIN,06096,CT,Windsor Locks, ,South Main Street at Stanton Road, ,WNL,"Windsor Locks, CT"
-8057859.7934,5385307.7253,1047,1055,Platform only (no shelter),TRAIN,05089,VT,Windsor, ,26 Depot Avenue, ,WNM,"Windsor-Mt. Ascutney, VT"
-13105891.0998,5007777.5563,1048,1056,Platform with Shelter,TRAIN,89445,NV,Winnemucca, ,209 Railroad Street, ,WNN,"Winnemucca, NV"
-9244294.8348,5208661.1306,1049,1057,Station Building (with waiting room),BUS,N9A 7B8,ON,Windsor, ,300 Chatham Street West, ,WNO,"Windsor, ON"
